used_time,height,weight,consumption,sleeping_time,character,gift_language,gift_sport,gift_music,gift_logic,gender
79.0,158.0,98.0,2000.0,7.0,1.0,7.0,2.0,5.0,6.0,0.0
102.0,158.0,98.0,2000.0,8.0,1.0,8.0,6.0,10.0,8.0,0.0
44.0,167.0,110.0,1600.0,10.0,0.0,10.0,10.0,5.0,5.0,1.0
48.0,156.0,96.0,1200.0,7.0,0.0,6.0,6.0,7.0,8.0,0.0
60.0,177.0,124.0,1000.0,7.0,1.0,9.0,9.0,2.0,9.0,1.0
63.0,175.0,122.0,1000.0,6.5,0.0,0.0,6.0,6.0,5.0,1.0
94.0,160.0,102.0,2000.0,7.5,0.0,6.0,5.0,8.0,4.0,0.0
104.0,172.0,118.0,1800.0,7.0,0.0,8.0,7.0,8.0,6.0,0.0
87.0,164.0,108.0,2000.0,6.5,1.0,10.0,6.0,8.0,10.0,0.0
97.0,174.0,122.0,1500.0,6.0,0.0,7.0,7.0,0.0,5.0,1.0
55.0,178.0,128.0,2500.0,8.0,0.0,7.0,5.0,4.0,2.0,1.0
70.0,165.0,110.0,1800.0,7.0,0.0,7.0,8.0,6.0,8.0,0.0
56.0,175.0,124.0,2000.0,7.0,0.0,7.0,7.0,10.0,7.0,1.0
137.0,175.0,124.0,1450.0,7.5,0.0,7.0,8.0,5.0,9.0,1.0
41.0,175.0,125.0,2000.0,9.0,0.0,8.0,9.0,6.0,9.0,1.0
47.0,182.0,136.0,1500.0,7.0,0.0,6.0,6.0,4.0,6.0,1.0
77.0,183.0,138.0,1800.0,7.5,1.0,8.0,6.0,2.0,7.0,1.0
53.0,170.0,120.0,2000.0,6.0,1.0,10.0,6.0,5.0,8.0,1.0
52.0,170.0,120.0,2500.0,8.0,0.0,8.0,8.0,7.0,8.0,1.0
110.0,155.0,100.0,1500.0,7.0,0.0,4.0,2.0,3.0,2.0,0.0
50.0,169.0,120.0,1500.0,6.0,0.0,5.0,5.0,5.0,5.0,1.0
79.0,168.0,120.0,2500.0,8.0,1.0,9.0,8.0,2.0,7.0,0.0
85.0,168.0,120.0,1600.0,8.0,0.0,7.0,6.0,7.0,8.0,1.0
94.0,168.0,120.0,1500.0,7.0,0.0,7.0,6.0,6.0,5.0,1.0
137.0,165.0,116.0,2000.0,7.0,0.0,5.0,5.0,5.0,7.0,0.0
64.0,170.0,124.0,2000.0,6.5,0.0,4.0,5.0,3.0,7.0,1.0
45.0,178.0,136.0,1700.0,8.0,1.0,5.0,8.0,5.0,8.0,1.0
97.0,171.0,126.0,2000.0,6.5,0.0,6.0,7.0,4.0,6.0,1.0
126.0,164.0,116.0,1300.0,9.0,0.0,6.0,8.0,3.0,5.0,0.0
88.0,173.0,130.0,2000.0,7.0,1.0,6.0,6.0,6.0,6.0,1.0
82.0,176.0,135.0,2000.0,8.0,1.0,7.0,7.0,7.0,7.0,1.0
126.0,168.0,124.0,1200.0,8.0,0.0,7.0,7.0,7.0,7.0,1.0
44.0,172.0,130.0,1000.0,7.0,0.0,5.0,5.0,3.0,5.0,0.0
117.0,158.0,110.0,1500.0,6.0,0.0,7.0,8.0,5.0,7.0,0.0
90.0,165.0,120.0,1500.0,7.0,1.0,6.0,7.0,7.0,6.0,0.0
65.0,178.0,140.0,2000.0,7.5,0.0,5.0,3.0,2.0,8.0,1.0
73.0,178.0,140.0,1000.0,8.0,0.0,4.0,5.0,6.0,7.0,1.0
53.0,178.0,140.0,2500.0,7.0,0.0,3.0,3.0,4.0,7.0,1.0
51.0,176.0,138.0,1500.0,6.0,0.0,6.0,6.0,6.0,6.0,1.0
35.0,181.0,146.0,2500.0,7.0,1.0,9.0,9.0,6.0,9.0,1.0
358.0,177.0,140.0,1200.0,8.0,0.0,5.0,5.0,5.0,6.0,1.0
62.0,170.0,130.0,2000.0,7.0,0.0,5.0,7.0,6.0,6.0,1.0
63.0,170.0,130.0,3000.0,7.0,0.0,8.0,9.0,5.0,7.0,1.0
68.0,170.0,130.0,1000.0,8.0,0.0,7.0,7.0,5.0,4.0,1.0
79.0,180.0,146.0,3000.0,8.0,1.0,10.0,8.0,6.0,8.0,1.0
176.0,178.0,143.0,1900.0,7.0,0.0,6.0,6.0,8.0,7.0,1.0
37.0,180.0,150.0,2000.0,8.0,1.0,10.0,8.0,10.0,8.0,1.0
97.0,160.0,120.0,5000.0,7.0,1.0,6.0,2.0,10.0,10.0,0.0
66.0,174.0,142.0,2000.0,7.0,1.0,9.0,4.0,8.0,9.0,1.0
61.0,172.0,140.0,1200.0,6.0,1.0,10.0,9.0,10.0,10.0,1.0
51.0,168.0,134.0,2500.0,8.0,1.0,7.0,7.0,1.0,6.0,1.0
42.0,183.0,160.0,1500.0,8.0,0.0,10.0,10.0,10.0,10.0,1.0
55.0,173.0,146.0,1800.0,8.0,1.0,8.0,4.0,8.0,10.0,1.0
89.0,158.0,123.0,1100.0,8.0,0.0,6.0,4.0,4.0,8.0,0.0
68.0,180.0,160.0,1000.0,8.0,0.0,6.0,6.0,6.0,6.0,1.0
66.0,168.0,140.0,800.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0
40.0,172.0,150.0,2000.0,7.0,1.0,7.0,6.0,6.0,8.0,1.0
107.0,173.0,154.0,1200.0,8.0,0.0,7.0,6.0,2.0,6.0,1.0
88.0,172.0,160.0,1500.0,7.0,1.0,6.0,6.0,6.0,8.0,1.0
66.0,185.0,188.0,900.0,8.0,1.0,6.0,7.0,5.0,7.0,1.0
46.0,168.0,160.0,2000.0,7.0,1.0,9.0,7.0,8.0,8.0,1.0
70.0,178.0,180.0,3000.0,8.0,1.0,6.0,8.0,6.0,9.0,1.0
48.0,180.0,100.0,1500.0,8.0,0.0,8.0,6.0,6.0,6.0,1.0
44.532841765446385,179.752345840389,100.49530831922195,1500.0,8.0,0.0,7.504691680778055,6.247654159610972,6.990616638443891,6.990616638443891,1.0
40.282512305338905,178.28500273451976,105.14499179644073,2786.247949110183,7.142501367259878,0.8574986327401218,8.0,8.572495898220366,6.857498632740121,8.572495898220366,1.0
61.345910903197066,171.1027260645353,97.77568151613382,1500.0,6.517121010755882,0.0,6.517121010755882,6.0,4.517121010755882,6.7414394946220595,1.0
51.27847346540357,180.0,108.19618366350893,1500.0,7.726793877883035,0.5464122442339288,7.453587755766071,7.0928244884678575,6.546412244233929,6.546412244233929,1.0
50.49034783046743,177.2329468550362,101.6602318869783,1306.3062798525334,7.806306279852533,0.0,7.169884056510858,5.723294685503619,5.169884056510857,6.553410628992761,1.0
62.19701776328695,178.39883258308794,100.0,1425.278853877437,8.0,0.0,8.0,6.0,6.106744494460805,6.320233483382412,1.0
61.58917030288277,180.0,111.81666982859372,3567.9172200039006,6.8183330171406284,0.5908334914296859,9.181666982859372,8.363333965718743,8.363333965718743,8.363333965718743,1.0
46.016873431813494,180.0,104.40694792930334,1610.1736982325835,7.5593052070696665,0.0,7.5593052070696665,6.4406947929303335,6.0,6.4406947929303335,1.0
36.415325239672725,177.42562783103838,109.65389563360607,1500.0,7.356406957759596,0.0,7.356406957759596,7.287186084480808,4.712813915519192,6.643593042240404,1.0
65.57160721029678,170.30532015983627,100.0,1318.22475299693,7.394082509989767,0.0,6.788165019979533,6.0,4.788165019979533,6.605917490010234,1.0
32.60392654181589,172.75478896085454,110.8678165587182,1952.8256899465916,9.811302759786365,0.0,6.188697240213633,6.0,3.28304586032045,7.811302759786367,1.0
57.42875903225554,179.54006053501192,104.59939464988075,1500.0,7.7700302675059625,0.22996973249403774,7.7700302675059625,6.6899091974821125,6.2299697324940375,6.459939464988075,1.0
44.511509262954206,179.20716119612595,102.53708417239693,1500.0,7.682864478450383,0.15856776077480872,8.317135521549618,6.634271043099234,6.634271043099234,6.634271043099234,1.0
78.4751021110005,171.49532034111616,105.66978643925592,1216.5106780372048,8.0,0.0,6.582553390186023,6.708723304906988,6.708723304906988,7.417446609813977,1.0
84.00354075954078,176.7996852658186,116.001573670907,939.9449215182547,7.5999606582273245,0.0,7.039905579745579,6.0,6.0,6.80007868354535,1.0
118.1033055493478,181.76731022393312,117.67310223933137,1382.1793184044575,7.1163448880334315,0.0,7.410896592022287,6.589103407977713,6.0,6.589103407977713,1.0
56.879933555944376,172.3886283806191,106.3428096828174,1500.0,8.0,0.0,5.462876126873037,4.0971570951547776,3.462876126873037,2.8285951585912965,1.0
65.14276433823422,176.57144713235314,113.71421147058737,1500.0,7.314289426470631,0.0,9.371421147058737,8.742842294117475,8.742842294117475,8.742842294117475,1.0
46.545559638641706,175.27306882558554,103.63610090339574,1536.3610090339575,8.727220180679147,0.0,8.727220180679147,7.454440361358296,5.636389909660426,5.636389909660426,1.0
58.06493746124035,177.48376563468992,120.1298749224807,1080.6276057816524,7.161255211563304,0.8387447884366954,8.838744788436696,8.516234365310087,2.6450208462532183,8.516234365310087,1.0
50.73813451927442,179.0872884935752,104.01593062826915,1408.7288493575193,7.726186548072558,0.0,6.53966158972031,6.0,6.0,5.817457698715039,1.0
53.27981319050466,179.3534922623872,102.37052837124699,1500.0,7.784497420795728,0.0,7.892248710397864,6.107751289602136,5.353492262387184,5.892248710397864,1.0
48.41475514797655,179.88149852914958,101.65902059190618,1559.2507354252207,8.0,0.0,7.940749264574779,5.940749264574779,5.8814985291495585,5.762997058299118,1.0
49.09771821651808,179.31392611467618,103.29315464955424,1568.60738853238,7.862785222935241,0.0,7.862785222935241,6.13721477706476,6.548859108259039,6.13721477706476,1.0
62.566554167126,179.18165426027383,103.92805955068566,1491.816542602738,7.918165426027382,0.0,7.836330852054764,6.327338295890472,5.836330852054765,6.491007443835708,1.0
41.26066827326006,175.1861916237572,124.06904188121408,1981.3808376242814,8.962761675248563,0.0,8.0,8.888285025745688,6.0,8.888285025745688,1.0
47.149600054038444,181.7007998919231,130.61439805461615,1500.0,7.14960005403844,0.0,6.29920010807688,6.0,4.29920010807688,6.0,1.0
63.92056064311186,181.64695454928744,120.86142429097416,1664.6954549287434,7.725507575118761,0.548984849762478,8.0,6.0,3.8040606009500886,6.548984849762478,1.0
49.90845727113289,176.18308545773422,107.63382908453156,1690.845727113289,7.236617091546844,0.38169145422657813,8.763382908453156,6.0,5.618308545773422,6.763382908453156,1.0
51.310207595251846,171.72448101187038,116.55103797625924,2327.551898812962,8.0,0.0,8.0,7.655103797625924,6.8275518988129615,7.655103797625924,1.0
48.476673645081874,177.3782949520497,104.76673645081871,1500.0,7.523326354918129,0.0,7.284989532377193,5.761663177459065,5.761663177459065,5.761663177459065,1.0
83.37887954782454,168.52576879530014,119.12371867449974,1595.6185933724987,8.0,0.0,7.043814066275013,6.0,6.956185933724988,7.912371867449974,1.0
83.91557496992071,170.63071957306417,115.61546737822641,1500.0,7.21922663108868,0.0,7.21922663108868,6.0,6.0,5.21922663108868,1.0
51.250752727236375,177.9682795454773,104.87612909085456,1601.586022726137,7.69524193182159,0.0,7.187311818190906,5.796827954547727,5.390483863643179,6.203172045452273,1.0
46.075531854650485,178.71702123643365,123.0936177441942,1628.2978763566343,8.0,0.641489381783172,6.0755318546504835,7.282978763566344,5.358510618216828,7.282978763566344,1.0
83.18194272478085,173.5380105199382,118.6679696090674,1858.9994155589884,6.923001753323035,0.0,6.564002337764046,6.717998831117976,4.564002337764046,6.0,1.0
78.59972319101789,174.64504844157187,122.94979239326341,1882.4965398877234,7.235006920224553,0.764993079775447,6.470013840449106,6.0,6.0,6.0,1.0
69.8295281902706,177.43182021290934,122.47157313704326,1821.0224733863322,8.0,0.6420449467726645,7.357955053227336,6.642044946772665,6.642044946772665,6.642044946772665,1.0
116.7593034807386,169.4216456183479,121.15670876330418,1235.5411404586978,8.0,0.0,7.118470468195659,6.8815295318043415,6.8815295318043415,6.8815295318043415,1.0
62.524458346414946,178.29124019453943,134.17519610921164,1927.1899513651454,7.572810048634855,0.0,5.436860291809127,3.4368602918091273,2.5824803890788366,7.7087598054605815,1.0
53.99635931423492,179.5202912548612,109.59417490277588,1380.0728137153017,8.0,0.0,7.040582509722413,5.760145627430604,6.0,6.239854372569397,1.0
48.777957694577545,179.688816922169,106.2236615566204,1655.59153891551,7.84440846108449,0.0,7.22204230542245,5.53322538325347,5.6888169221689795,6.15559153891551,1.0
49.22037496961621,178.37283337384505,115.458082948472,1500.0,7.186416686922526,0.0,7.186416686922526,6.0,6.0,6.0,1.0
39.18513929159724,180.67806620833866,131.191045583579,2178.066208338674,7.321933791661326,0.6780662083386741,8.678066208338674,8.034198625016021,6.0,8.034198625016021,1.0
167.92111897649096,178.83947304216298,115.47369277116012,1383.947304216299,8.0,0.0,6.839473042162991,5.613157680720997,5.613157680720997,6.0,1.0
50.37266984989739,178.30523582150187,105.08429253549441,1584.738208924907,7.830523582150186,0.0,7.4915707464505585,6.169476417849814,6.0,6.0,1.0
48.8185331925377,179.45431120497486,101.63706638507539,1581.8533192537693,7.945431120497487,0.0,8.0,6.16370663850754,5.945431120497488,6.054568879502513,1.0
59.62919712550896,174.1854014372455,117.44379568826345,1209.270071862276,8.0,0.0,7.4185401437245515,6.581459856275448,5.4185401437245515,4.837080287449103,1.0
55.955744321105485,180.0,111.8052980248662,1884.955370376072,8.0,0.25663691358404794,8.513273827168096,6.513273827168096,6.0,6.513273827168096,1.0
136.6627513901658,178.61464450952866,129.78514304513382,1777.071098094268,7.30732225476433,0.0,6.6146445095286595,6.0,7.3853554904713405,6.69267774523567,1.0
46.61487553389001,180.0,106.29602030049995,1562.9602030049994,8.0,0.125920406009999,8.251840812019998,6.2518408120199975,6.503681624039995,6.2518408120199975,1.0
55.896976819123935,177.36767439362535,118.4262792446225,1719.360467197887,7.561279065604226,0.438720934395774,8.438720934395775,5.122558131208452,6.877441868791548,7.316162803187322,1.0
48.71349891225543,179.56092374630433,102.19538126847826,1483.534640486413,7.890230936576088,0.054884531711956286,8.109769063423913,6.164653595135869,6.219538126847825,6.219538126847825,1.0
48.052963586913194,179.78814565234723,100.6002539850162,1517.6545289710648,8.0,0.017654528971064565,7.982345471028935,6.017654528971065,5.911727355144677,6.0,1.0
44.53560469677372,181.73219765161315,134.64395303226286,1500.0,8.0,0.0,9.154798434408761,8.309596868817524,8.309596868817524,8.309596868817524,1.0
53.789957207084406,174.21004279291557,138.04829021798324,1748.1410231607604,8.0,0.8271367438692007,8.0,4.3457265122615985,7.6542734877384015,9.308546975476803,1.0
55.130379356231884,180.0,121.39113806869565,1321.740516094203,8.0,0.0,7.286962064376811,6.0,6.0,6.0,1.0
58.6567026815904,172.8955315456064,123.68156151464534,1085.5726734937066,7.407960962133867,0.0,3.855726734937065,3.0398048106693323,3.0398048106693323,3.0398048106693323,1.0
41.5820199168196,173.5820199168196,140.1123755198775,1901.1237551987751,7.19775248960245,0.8022475103975503,7.19775248960245,6.0,6.0,7.604495020795101,1.0
74.4131778107308,176.8662331410997,124.17477291151633,1365.6957060471314,8.0,0.0,7.552319020157105,6.0,4.2092760806284195,6.0,1.0
80.68962157815122,173.46207568436978,149.03443236722683,1500.0,7.18275946054622,0.8172405394537804,6.365518921092439,6.0,6.0,7.634481078907561,1.0
61.12303764943315,183.64528823595364,164.15707295278426,1062.5654116855617,8.0,0.7290576471907305,6.541884705618539,6.72905764719073,5.27094235280927,6.72905764719073,1.0
46.96026061627092,173.76156369762555,131.19218151187238,1759.93484593227,7.48013030813546,0.5198696918645396,8.519869691864539,6.519869691864539,7.03973938372908,7.03973938372908,1.0
68.59887076788502,178.12737538473772,174.90498461049094,2904.468461446705,8.0,0.9363123076311367,6.127375384737727,7.872624615262273,6.0,8.80893692289341,1.0
34.0,179.0,102.0,1500.0,8.0,0.0,6.0,7.0,10.0,10.0,1.0
36.61892198127045,178.4762156037459,104.09513758501635,2285.6765943811324,7.476215603745912,0.5237843962540882,7.0475687925081765,8.047568792508176,8.428646811237735,9.476215603745912,1.0
38.3737964601063,177.49650746683844,101.31659430310839,1500.0,7.726637721243357,0.0,6.0,6.863318860621678,9.17991316373007,9.589956581865035,1.0
36.17890937097311,179.10894546854865,103.41629109113252,1500.0,7.945527265725672,0.1089454685486555,6.108945468548655,7.108945468548655,9.673163594354033,9.673163594354033,1.0
41.42779293367647,176.0934723303005,103.29179007542199,1273.936736801151,7.773936736801151,0.0,5.677052481144502,6.354104962289003,7.73936736801151,9.354104962289004,1.0
89.58049131330402,173.70661987492343,101.24380283927478,1235.3309937461713,8.0,0.0,6.756197160725225,6.621901419637387,8.865704258912162,9.621901419637387,1.0
64.27600369765243,179.81827037020682,116.72886666372281,4363.946295723878,6.363459259586356,0.8182703702068223,9.273081480827289,9.454811110620467,10.0,10.0,1.0
37.15465159546346,179.6309303190927,113.35674574366847,1815.4651595463463,6.738139361814614,0.0,6.0,7.630930319092693,7.476278723629229,8.738139361814614,1.0
30.411546427934205,176.30865982095065,113.66247410921383,1500.0,7.10288660698355,0.0,6.897113393016449,7.89711339301645,4.617319641901304,7.308659820950652,1.0
34.94478351268714,178.67042435603938,101.95605658080524,1493.4084871207872,7.978028290402625,0.0,6.0,6.978028290402625,9.868169742415747,9.934084871207872,1.0
32.38933285416221,175.24177665971183,107.36889048612596,1768.4445243062978,9.07377809722519,0.0,6.0,6.463110951387405,6.241776659711831,8.92622190277481,1.0
87.70458242483078,178.02355304682126,119.57604515721735,1500.0,7.023553046821259,0.9764469531787413,6.976446953178741,8.952893906357483,7.070659140463776,8.047106093642517,1.0
30.737662339645436,177.36883116982273,107.70909090562049,1500.0,7.184415584911359,0.40779220754432066,7.631168830177282,8.223376622632962,10.0,10.0,1.0
39.67712270857059,177.9044149158899,102.59759186406006,1460.160542395996,8.0,0.0,6.0,7.0,9.701204067969968,9.80080271197998,1.0
92.4327267821404,176.02884440090813,119.8269335945513,806.7303602118934,7.5048074001513525,0.0,6.792308159757836,6.009614800302705,6.03845920121082,7.028844400908115,1.0
160.13958966900944,182.79367186974466,128.5557030882125,1310.3164065127678,6.577373048845758,0.0,6.948417967436161,7.0,6.206328130255354,7.1547460976915165,1.0
39.86754187919424,176.69489426174513,103.67644053691265,1500.0,8.0,0.0,5.580889865771839,6.16177973154368,8.32355946308736,8.114004395973279,1.0
45.75421524755359,177.79443946178938,107.4250224219478,1500.0,7.698609865447343,0.0,7.205560538210625,7.904170403657968,10.0,10.0,1.0
38.76525996624648,173.2816880405042,105.81220797299719,1547.6525996624648,8.953051993249296,0.0,7.906103986498593,8.429577989873945,7.617370016876759,7.617370016876759,1.0
56.85365761423343,177.24202633736667,121.33771028896675,1060.5065843416648,7.12101316868333,0.8789868313166703,8.63696049395001,8.75797366263334,2.9681053494666374,9.12101316868333,1.0
43.66974283568361,177.66624236749192,108.66878816254042,1333.2802959364894,7.4998408878094684,0.0,3.9993635512378747,6.666560591872979,8.666242367491916,8.332802959364896,1.0
55.2955903316176,177.30987378320495,108.7605048671802,1500.0,7.323949513281981,0.0,6.338025243359009,7.0,6.619747566409905,8.309873783204953,1.0
49.74945736282455,178.2500258398655,121.49932816349707,2249.974160134502,8.0,0.0,6.749974160134503,5.500051679730996,5.500155039192986,4.000206718923981,1.0
51.12049355643918,175.88718298973833,119.12049355643919,1889.1021262827087,7.221795747434583,0.0,6.778204252565417,7.0,10.0,7.665387242303749,1.0
112.73150854188565,175.94246568769375,118.8164387176843,1461.780821096172,7.61780821096172,0.0,6.7643835780765595,7.7643835780765595,6.178082109617202,9.23561642192344,1.0
39.834431683397895,175.66603903805836,121.1702755311645,1916.7451202427064,8.833490240485414,0.0,7.666980480970826,8.666980480970826,6.666039038058347,9.166509759514588,1.0
46.29414610155997,181.83711063882154,134.1539205733107,1500.0,7.054296453726156,0.0,6.0,6.054296453726156,4.325778722356936,6.217185814904624,1.0
60.22205443949365,181.43926087809245,123.9533479028319,1682.9445658569325,7.695092390238446,0.6098152195231081,7.219630439046217,6.390184780476892,5.121478243815135,8.170554341430675,1.0
46.11042794464372,173.2634814999056,113.47303700018878,1818.6954722274663,6.725218111090134,0.6373909444549326,8.549563777819731,6.362609055545068,6.813045277725337,8.725218111090134,1.0
47.38986010511224,172.30506994744388,115.38986010511223,2243.8811169506803,8.0,0.0,7.4877622339013605,7.74388111695068,7.768356649147959,8.51223776609864,1.0
47.48618726888733,170.5711329569454,117.17196067749823,1500.0,6.314226591389085,0.0,5.157113295694542,5.314226591389084,5.785566478472711,5.785566478472711,1.0
80.58844192975695,168.95151252495438,118.4429795046201,1591.3498861367784,8.0,0.0,6.913498861367783,6.086501138632217,7.259503415896651,8.173002277264434,1.0
41.95330399525443,177.5418942675367,104.38599119857632,1500.0,7.867444933412426,0.0,6.132555066587574,6.8674449334124255,9.469779733649705,9.33722466706213,1.0
62.60051180584057,170.41984645824783,122.97370865761641,1976.6751967640096,6.569974409707972,0.0,4.093299212943962,5.093299212943962,3.3265472453038676,7.1399488194159435,1.0
40.063801668233474,178.44874530288786,120.74265970181256,1610.2509394224267,8.0,0.5512546971121339,5.4487453028878665,7.5512546971121335,7.243726514439331,8.897490605775733,1.0
58.15380022417783,175.9328507651838,111.2014477044487,1691.6968271760147,7.4249095184719565,0.0,6.0,7.0,7.699638073887825,8.466425382591883,1.0
59.58419544063798,176.1573116177069,115.26587911736785,1736.8906985244257,7.526218602951149,0.47378139704885147,6.0,6.526218602951149,8.104874411804595,8.104874411804595,1.0
41.19232482387372,178.5504796985079,106.94472331641319,1574.9200502486847,8.0,0.14984010049736918,6.14984010049737,7.0,9.550479698507893,9.550479698507893,1.0
36.20183713591627,178.73673686418394,102.52652627163215,1492.8200962959254,8.0,0.0,6.023933012346916,7.0,9.92820096295925,9.92820096295925,1.0
60.73613192116969,178.13754413157517,134.77332300014348,1931.2279342124143,7.568772065787586,0.0,5.137544131575171,3.5501765263006857,3.1003530526013714,8.275088263150343,1.0
44.17711040920447,178.73904845104602,111.9161588602505,1369.5242255230196,8.0,0.0,5.478096902092079,6.478096902092079,8.956193804184156,9.217145353138118,1.0
52.80294655892447,178.0103712337408,139.60589311784892,2489.6287662591826,7.010371233740817,0.0,3.031113701222452,3.0414849349632695,4.062227402444904,7.031113701222452,1.0
34.56941160568391,178.89951559899697,103.20581281203653,1500.0,7.933010399331304,0.0,6.0,6.966505199665652,9.86602079866261,9.86602079866261,1.0
34.90561829776558,180.81123659553117,141.84720510168546,2405.618297765578,7.094381702234422,0.905618297765578,8.716854893296734,8.811236595531156,6.377526808937688,9.094381702234422,1.0
205.89064345305533,177.9389466453515,122.16001373832131,1340.8419968027265,8.0,0.0,5.469473322675755,5.9389466453515105,7.347366613378776,7.877893290703021,1.0
44.91396416169567,175.49194009088353,112.91396416169567,1694.892217173137,7.610215565653727,0.0,5.610215565653727,7.0,8.440862262614905,8.440862262614905,1.0
56.37643748904422,172.05558836546902,123.60483619631856,2657.401939088494,7.228398707274337,0.0,7.543202585451326,8.543202585451326,6.141993536371686,7.685196121823012,1.0
60.39029933920708,172.01433252785694,123.73318769111171,1111.9073626587192,8.0,0.0,6.776185274682562,7.0,6.119073626587193,5.342888351904632,1.0
75.56238193168302,179.92360848737073,142.63877344431228,2885.4127310561007,8.0,0.9236084873707338,9.694433949482935,7.923608487370734,6.305566050517065,8.152783025258532,1.0
75.49434135298091,178.70778632850013,113.9807605314945,1616.8854685999463,7.707786328500134,0.0,6.0,6.707786328500134,9.415572657000268,9.123358985500403,1.0
35.25314887576073,179.41771629192024,122.05038201217161,1708.858145960121,8.0,0.41771629192024184,7.670865167680967,7.417716291920242,10.0,9.164567416159517,1.0
65.79964209985744,174.03130592189726,141.74955262482177,1996.8694078102724,7.006261184379455,0.9937388156205447,8.981216446861634,4.018783553138366,8.01252236875891,9.006261184379454,1.0
56.971550720038024,173.04441277628644,134.33033064301648,1244.7605475551331,6.298403650367554,0.8507981748162231,9.403192699264894,8.701596349632446,10.0,10.0,1.0
48.85527044686416,169.38776618144084,129.96286201762663,2373.839438050833,8.0,0.8738394380508329,6.873839438050832,7.0,2.1354450575425044,6.504642247796669,1.0
38.84608748009241,181.4230437400462,137.13413423066999,1500.0,8.0,0.0,8.423043740046205,8.817282805034655,10.0,10.0,1.0
48.883129530929494,174.74767727687728,133.1836999695666,1712.6161361561358,8.0,0.7087204538537858,7.417440907707571,4.8738386384386425,8.582559092292428,10.0,1.0
66.0060941302505,179.94135570971326,156.59863116336848,1029.3221451433749,8.0,0.0,6.0,6.05864429028675,6.234577161147,6.234577161147,1.0
43.285631959614975,175.80806401388236,113.02668795204278,1296.8768008834222,7.709824001262032,0.0,4.54912000631016,5.258944007572192,7.388416011358288,7.388416011358288,1.0
37.85951657912677,174.49723065768544,132.87613263301418,1821.6263815938976,7.356747236812205,0.6432527631877951,6.643252763187795,6.356747236812205,7.4269889472488195,8.71349447362441,1.0
71.37718408088524,175.9279026782834,128.62484345487715,1346.3951339141702,8.0,0.0,6.5120162202861,6.4879837797139,5.903870237711206,7.951935118855603,1.0
73.00624314206956,173.94363514825025,143.89559448592655,1500.0,7.277662164035749,0.7223378359642512,6.0,6.277662164035749,7.110648656142995,8.555324328071498,1.0
45.430980100947565,181.14330876892768,132.72075902129657,1285.6691231072332,8.0,0.3572181281546113,6.0,7.0,8.213909359226943,8.928345615536166,1.0
