,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
41,admirable,ˈædmərəb(ə)l,,,,,,['adj. 令人钦佩的，极其出色的']
42,admiration,ˌædməˈreɪʃ(ə)n,,,,,,['n. 钦佩，赞美，欣赏；赞美对象']
43,admittance,ədˈmɪt(ə)ns,,,,,,['n. 进入许可，加入许可；（物理）导纳；通道']
44,admittedly,ədˈmɪtɪdli,,,,,,['adv. 诚然，不可否认地']
45,adolescence,ˌædəˈles(ə)ns,,,,,,['n. 青春期，青春']
46,adoption,əˈdɒpʃn,adoptions,,,,,['n. 采用，接受；<英>推选；正式通过；选择；收养，领养']
47,adorable,əˈdɔːrəbl,,,,,,['adj. 可爱的，讨人喜欢的；<罕>值得崇拜的']
48,adulthood,ˈædʌlthʊd; əˈdʌlthʊd,,,,,,['n. 成年，成人时期']
49,advancement,ədˈvɑːnsmənt,advancements,,,,,['n. 前进，行进；进步，进展；提升，晋升']
50,advantageous,ˌædvənˈteɪdʒəs,,,,,,['adj. 有利的，有益的']
51,adventurer,ədˈventʃərə(r),adventurers,,,,,['n. 冒险家；投机分子；<古>（金融）投机者；<古>雇佣兵']
52,adventurous,ədˈventʃərəs,,,,,,['adj. 勇于冒险的，敢于创新的；爱冒险的；刺激不断的，充满惊险的；新奇的，令人兴奋的']
53,adversary,ˈædvəsəri,adversaries,,,,,"['n. 敌手，对手', 'adj. 对立的，敌对的']"
54,adversity,ədˈvɜːsəti,adversities,,,,,['n. 逆境，厄运']
55,advertisement,ədˈvɜːtɪsmənt,advertisements,,,,,['n. 广告；（某一类事物的）活广告；广告活动，广告宣传']
56,advertising,ˈædvətaɪzɪŋ,,,,,,"['n. 广告活动，广告业；（总称）广告', 'v. 登广告；公布，征聘；宣扬（advertise 的现在分词形式）']"
57,adviser,ədˈvaɪzə(r),advisers,,,,,['n. 顾问，指导者']
58,advisor,əd'vaɪzə,advisors,,,,,['n. 顾问；指导教师；劝告者']
59,advisory,ədˈvaɪzəri,advisories,,,,,"['adj. 顾问的，咨询的', 'n. 官方警告；警报']"
60,aeroplane,ˈeərəpleɪn,aeroplanes,,,,,['n. <英> 飞机']
61,aesthetics,iːsˈθetɪks; esˈθetɪks,,,,,,['n. 美学；美学理论；艺术美']
62,affectionate,əˈfekʃənət,,,,,,['adj. 表达爱意的，深情的']
63,affirmation,ˌæfəˈmeɪʃn,affirmations,,,,,['n. 肯定，维护；情感上的支持（或鼓励）；（因良心原因不愿宣誓而作的正式）确认']
64,affirmative,əˈfɜːmətɪv,affirmatives,,,,,"['adj. 肯定的，同意的；（法律提案）须议会投票赞成生效的；积极的', 'n. 同意，赞成；陈述词，肯定词；赞成的一方', 'int. <美>同意的，赞成的']"
65,affixation,ˌæfɪksˈeɪʃ(ə)n,,,,,,['n. 附加，附加法']
66,affordability,əˌfɔːdəˈbɪləti,,,,,,['n. 可购性，负担能力']
67,afloat,əˈfləʊt,,,,,,"['adj. 经济上周转得开的，不欠债的；漂浮的；在流传中的，当前的；在船（或艇）上的；海上的；浸水的', 'adv. 不欠债地，周转顺畅地；漂浮着；在流传中，当前；在海上；浸满水']"
68,after,ˈɑːftə(r),,,,,,"['prep. 在……之后；紧接着；一次接着一次，持续不断地；跟随，在……身后；（按顺序、重要性）在……后面，仅次于；与……对照，对比；鉴于，由于；尽管；寻找，追捕；关于；模仿，依照；以……命名；（表示时间）（…点）过（…分）', 'conj. 在……以后', 'adv.  后来，以后', 'adj. <旧>后来的，以后的；靠近船尾的']"
69,afternoon,ˌɑːftəˈnuːn,afternoons,,,,,['n. 午后，下午']
70,afterwards,ˈɑːftəwədz,,,,,,['adv. 过后，后来']
71,aged,eɪdʒd,,,,,,"['adj. ……岁的；年老的，年迈的；老化的；（马，农畜）超过成熟年龄的', 'n. 老年人（the aged）', 'v. 变老，老化；（使）显老；（使）变陈（age 的过去式和过去分词形式）']"
72,ageing,ˈeɪdʒɪŋ,,,,,,"['n. （材料自然或人为的）老化；变老，衰老', 'adj. 变老的，上了年纪的；到了使用寿命的', 'v. 变老；使……苍老；成熟（age 的现在分词）']"
73,aggravation,ˌæɡrəˈveɪʃn,aggravations,,,,,['n. 加剧，恶化；<非正式>烦恼，恼人的事；攻击（或挑衅）行为']
74,aging,ˈeɪdʒɪŋ,,,,,,"['adj. 变老的，变旧的', 'n. 老化，变老', 'v. 变老，老化；（使）显老；（使）变陈（age 的现在分词形式）']"
75,agitation,ˌædʒɪˈteɪʃn,agitations,,,,,['n. 焦虑不安；煽动，鼓动；（液体的）搅动']
76,ago,əˈɡəʊ,,,,,,"['adv. 以前，从前', 'adj. 以前的', '【名】 （Ago）（美）阿戈（人名）']"
77,agricultural,ˌæɡrɪˈkʌltʃərəl,,,,,,['adj. 农业的，与农业有关的；务农的，农用的；<英，非正式>笨拙的']
78,agriculture,ˈæɡrɪkʌltʃə(r),,,,,,['n. 农业，农学，农艺']
79,aide,,,,,,,
80,aids,eɪdz,,,,,,['abbr. 艾滋病（Acquired Immune Deficiency Syndrome）；获得性免疫缺乏综合症']
81,air-conditioner,ˈeə kəndɪʃənə(r),,,,,,['n. 空调']
82,air-conditioning,ˈeə kəndɪʃənɪŋ,,,,,,['n. 空调系统；空气调节']
83,aircraft,ˈeəkrɑːft,aircraft,,,,,['n. 飞机，航空器']
84,airplane,ˈeəpleɪn,airplanes,,,,,['n. <美>飞机']
85,akin,,,,,,,
86,alcoholic,ˌælkəˈhɒlɪk,alcoholics,,,,,"['adj. 酒精的，含酒精的；酒精中毒的，酗酒的；喝酒引起的，由酒精引起的', 'n. 酗酒者，酒鬼']"
87,ale,,,,,,,
88,algebra,ˈældʒɪbrə,,,,,,['n. 代数；代数学']
89,alienation,ˌeɪliəˈneɪʃ(ə)n,,,,,,['n. 疏离感；失去支持，疏远；（财产或权利的）转让，让渡；（马克思主义理论）异化感；情感性精神错乱；间离效果，陌生化效果']
90,alignment,əˈlaɪnmənt,alignments,,,,,['n. 排成直线，摆放恰当；结盟；协调，一致；（铁路或道路的）路线；石排']
91,all,ɔːl,,,,,,"['det. 全部；每一个；极度，尽量；无论什么，任何；唯一，仅仅', 'adj. 全部的；每一个的；任何的；尽可能多的；全然是……的，完全表现出……的；（某一体征）显著突出的', 'adv. 完全地；各方，各选手；非常，太', 'pron. 所有，全部；唯一', 'n. 全部，所有', '【名】 （All）（英、美、巴、加）奥尔（人名）']"
92,allegation,ˌæləˈɡeɪʃn,allegations,,,,,['n. （无证据的）说法，指控']
93,alleged,əˈledʒd,,,,,,"['adj. （未经证实而）声称的，所谓的；（在证据不足的情况下）被指控的', 'v. (未经证实地）宣称，指控（allege 的过去式和过去分词形式）']"
94,allegedly,əˈledʒɪdli,,,,,,['adv. 据说，据宣称']
95,alleviation,əˌliːviˈeɪʃn,,,,,,['n. 减轻，缓和；镇痛物']
96,alley,ˈæli,alleys,,,,,"['n. 小巷，胡同；（两旁有树木、灌木或石头的）小径；（九柱戏和保龄球等游戏的）球道；<美>双打网球场两边的狭长地带', '【名】 （Alley）（英）阿利（人名）']"
97,allocation,ˌæləˈkeɪʃ(ə)n,allocations,,,,,['n. 配给量，划拨款，份额；分配，分派']
98,allot,əˈlɒt,,allots,allotting,allotted,allotted,"['v. 分配，分派，划拨', '【名】 （Allot）（英）阿洛特，（西）阿略特，（法）阿洛（人名）']"
99,allotment,əˈlɒtmənt,allotments,,,,,['n. 配额，份额，配给物；分配，指定；<英>（可租用的）小块菜园地；<美>（政府拨给美洲印第安人的）留地']
100,allure,əˈlʊə(r),,allures,alluring,allured,allured,"['n. 吸引力，魅力', 'v. 吸引，引诱', '【名】 （Allure）（美、俄、印）艾罗尔（人名）']"
101,allurement,əˈljʊəmənt,allurements,,,,,['n. 诱惑，诱惑物']
102,almighty,ɔːlˈmaɪti,,,,,,"['adj. 全能的；有无限权力的，有强大力量的；<非正式>巨大的，极度的；（表示惊奇或愤怒）上帝呀', 'n. 全能者（指上帝）']"
103,alphabetic,ˌælfəˈbetɪk,,,,,,['adj. 字母的；照字母次序的']
104,alteration,ˌɔːltəˈreɪʃn,alterations,,,,,['n. 改变，变更；（对衣物的）改动']
105,alternately,ɔːlˈtɜːnətli,,,,,,"['adv.  交替地；轮流地', 'none']"
106,alternation,ˌɔːltəˈneɪʃn,alternations,,,,,['n. 交替，轮流，间隔']
107,am,əm; æm,,,,,,"['v. 是（be 的第一人称单数现在时）', 'abbr. 上午（同 a.m.）', 'abbr. （AM）调幅（Amplitude Modulation）；威尔士国民议会（assembly member）', 'abbr. （Am.）<书面>美国人（American）', 'n. （AM）（中、英）安（人名）']"
108,amazement,əˈmeɪzmənt,,,,,,['n. 惊诧，惊奇']
109,amazing,əˈmeɪzɪŋ,,,,,,"['adj. 惊人的，了不起的；令人诧异的，令人惊愕的；令人高兴的', 'v. 使惊奇，使惊愕（amaze 的现在分词形式）']"
110,ambiguity,ˌæmbɪˈɡjuːəti; ˌæmbɪˈɡjuːɪti,ambiguities,,,,,['n. 模棱两可，不明确；含混不清的语句；一语多义；暧昧，难以理解的感情（或想法）']
111,amidst,əˈmɪdst,,,,,,['prep. 在……之中；在……气氛下；四周是（等于 amid）']
112,ammunition,ˌæmjuˈnɪʃn,,,,,,['n. 弹药，军火；（批评或辩论中攻击他人的）把柄，证据']
113,amongst,əˈmʌŋst,,,,,,['prep.  在……当中；系……的一员，……之一；普遍存在于（某一群人）之中；某群人彼此之间；在……的一类中；在（某一群人）中（分配）；在……中（表现突出的）；彼此间；在……范围内（考虑、比较等）']
114,amplification,ˌæmplɪfɪˈkeɪʃn,,,,,,['n. 扩大，增强；阐述，引申；扩增']
115,amusement,əˈmjuːzmənt,amusements,,,,,['n. 开心，娱乐；娱乐活动，娱乐设施']
116,amusing,əˈmjuːzɪŋ,,,,,,"['adj. 逗人发笑的，有趣的', 'v. 逗乐，逗笑；（提供）消遣（amuse 的现在分词形式）']"
117,an,ən,,,,,,"['det. 一个（用于元音前）', 'art. 一（在元音音素前）']"
118,analyst,ˈænəlɪst,analysts,,,,,['n. 分析者，化验员；心理分析师']
119,analytic,ˌænəˈlɪtɪk,,,,,,['adj. 分析的，分析性的（=analytical）；具备分析能力的，善于分析的（=analytical）；逻辑必然的；（语言）分析性的']
120,analytical,ˌænəˈlɪtɪk(ə)l,,,,,,['adj. 具备分析能力的，善于分析的；分析的，分析性的']
121,anchorage,ˈæŋkərɪdʒ,,,,,,['n. 泊处，锚地；固定物，系牢点，扣牢处；隐士住所']
122,anecdotal,ˌænɪkˈdəʊt(ə)l,,,,,,['adj. 轶事的，传闻的']
123,anew,əˈnjuː,,,,,,['adv. 重新，再']
124,angel,ˈeɪndʒl,angels,,,,,"['n. 天使；仁慈的人，善人；宝贝，乖乖；（尤指仁慈的）精灵，保护神；<非正式>仙波，雷达回响', '【名】 （Angel）（英、罗）安杰尔，（德、塞、俄、保、瑞典、挪）安格尔，（法、葡）安热尔，（西）人名安赫尔，（土）安盖尔（人名）']"
125,announcement,əˈnaʊnsmənt,announcements,,,,,['n. 公告；（报纸上的）布告；宣布']
126,annoyance,əˈnɔɪəns,annoyances,,,,,['n. 烦恼，气恼；令人恼火的事']
127,antagonist,ænˈtæɡənɪst,antagonists,,,,,['n. 对手，敌手，对立者；拮抗物；拮抗肌']
128,antagonistic,ænˌtæɡəˈnɪstɪk,,,,,,['adj. 敌对的，反对的，仇恨的；拮抗物（或拮抗作用）的']
129,antagonistically,ænˌtæɡəˈnɪstɪkli,,,,,,['adv. 敌对地，反对地']
130,anticipation,ænˌtɪsɪˈpeɪʃ(ə)n,anticipations,,,,,['n. 预期，预料；期盼，期望；先现音']
131,antonym,,,,,,,
132,any,ˈeni,,,,,,"['det. 任何的，任一的；一点，些许；不寻常的；尽可能多的，所有的', 'pron. 任何一个；任何数量，任一数额', 'adv. 一点，丝毫；<美，非正式>压根儿', 'adj. 任何的，任一的；一点，一些', '【名】 （Any）（美、俄、法、墨、巴）阿尼（人名）']"
133,anybody,ˈenibɒdi,anybodies,,,,,"['pron. 任何人；有人，别人；随便哪一个人', 'n. 重要人物；平常人']"
134,anyone,ˈeniwʌn,,,,,,['pron. 任何人；某个人；任何……的人；重要人物；（没有）一个人（用于否定句）；任何一个人']
135,anything,ˈeniθɪŋ,,,,,,['pron. 任何事物 （用于含有否定意义的陈述句中）；某事物（用于疑问句和条件分句中）；任一事物（强调）；任何……的事物（接后置修饰语）；任何（接近、像……的）事物；（某范围的）任何事物；重要东西，重要事物；某一限定范围之内的任何一个数量']
136,ape,eɪp,apes,apes,aping,aped,aped,"['n. 猿，类人猿；粗野的人，蠢人', 'v. 模仿', '【名】 （Ape）（意）阿佩（人名）']"
137,apologetic,əˌpɒləˈdʒetɪk,,,,,,['adj. 道歉的，愧疚的；（为理论或宗教教义）辩护的，辩解的']
138,apology,əˈpɒlədʒi,apologies,,,,,['n. 道歉；（因不能赴会的）道歉信；辩护，辩解；勉强（或不适当的）替代物；<非正式>糟糕的例子']
139,app,æp,,,,,,"['abbr. （计算机）应用程序，应用软件；<美，非正式>开胃菜', '【名】  （App）（美、德、巴）阿普（人名）；（App）（美、德、巴）阿普（人名）']"
140,appalling,əˈpɔːlɪŋ,,,,,,"['adj. 骇人听闻的，令人震惊的；非常的，极其严重的；<非正式>极坏的，糟透的', 'v. 使恐惧，使憎恶，使大为震惊（appal 的现在分词形式）']"
141,apparently,əˈpærəntli,,,,,,['adv. 据说，显然；似乎，好像']
142,appealing,əˈpiːlɪŋ,,,,,,"['adj. 吸引人的，有感染力的；恳求的，可怜的', 'v. 呼吁，恳求；上诉；引起兴趣（appeal 的现在分词形式）']"
143,appeasement,əˈpiːzmənt,,,,,,['n. 平息，安抚，姑息']
144,apple,ˈæp(ə)l,apples,,,,,['n. 苹果']
145,appreciation,əˌpriːʃiˈeɪʃn,appreciations,,,,,['n. 欣赏，鉴赏；感激，感谢；理解，领会；升值，增值；（赞赏性的）演讲，文字']
146,appreciative,əˈpriːʃətɪv,,,,,,['adj. 欣赏的，赞赏的；感激的，感谢的']
147,appropriation,əˌprəʊpriˈeɪʃn,appropriations,,,,,['n. 侵吞，挪用；拨款，拨付；所拨款项，专款']
148,approximately,əˈprɒksɪmətli,,,,,,['adv. 大约，大概']
149,approximation,əˌprɒksɪˈmeɪʃn,approximations,,,,,['n. 粗略估计，近似值；类似事物，相似物；近似法']
150,april,ˈeɪprəl,,,,,,['n. 四月']
151,aptly,ˈæptli,,,,,,['adv. 恰当地，贴切地']
152,arbitrarily,ˌɑːbɪˈtrerəli; ˈɑːbɪtrəli,,,,,,['adv. 随意地，任意地；武断地，专横地']
153,arbitration,ˌɑːbɪˈtreɪʃn,arbitrations,,,,,['n. 仲裁，公断']
154,arc,ɑːk,,,,,,"['n. 弧形，弧线；弧光，电弧；情节（或主题）的发展；反三角函数', 'v. 做弧形运动；形成电弧', 'adj. （三角函数和双曲函数）反的', '【名】 （Arc）（法）阿尔克（人名）']"
155,area,ˈeəriə,areas,,,,,"['n. 地区，区域；场地，地方；领域；面积；部位；罚球区', '【名】 （Area）（西）阿雷亚（人名）']"
156,arguable,ˈɑːɡjuəb(ə)l,,,,,,['adj. 无把握的，有疑问的；可论证的，有论据的']
157,argumentation,ˌɑːɡjumənˈteɪʃ(ə)n,,,,,,['n. 论证，推论；争论，辩论']
158,argumentative,ˌɑːɡjuˈmentətɪv,,,,,,['adj. 好争辩的，好争吵的；系统化推理的，按部就班地论证的；争辩的，辩论的']
159,aristocrat,ˈærɪstəkræt,aristocrats,,,,,['n. 贵族，贵族成员']
160,aristocratic,ˌærɪstəˈkrætɪk,,,,,,['adj. 贵族的，有贵族特征的']
161,armament,ˈɑːməmənt,armaments,,,,,['n. 军备，武器；武装，战备']
162,armor,ˈɑːmə(r),,armors,armoring,armored,armored,"['n. 盔甲，甲胄；装甲，防弹钢板；甲壳；装甲部队，装甲车辆；（感情、社交或其他方面的）防御', 'v. （感情、社交或其他方面的）防御', '【名】 （Armor）（英、美、法）阿莫尔（人名）']"
163,armour,ˈɑːmə(r),,,,,,"['n. 盔甲；装甲；护面', 'n. （Armour）人名；（英、西、葡）阿穆尔']"
164,arousal,əˈraʊz(ə)l,,,,,,['n. 唤起，（尤指性欲的）激起；（睡后的）清醒，醒来']
165,arrangement,əˈreɪndʒmənt,arrangements,,,,,['n. 安排，筹备；商定，约定；整理，排列，布置；改编']
166,art,ɑːt,,,,,,"['n. 美术，艺术；艺术品；技术，技巧；人文学科；艺术活动（the arts）', 'adj. 艺术性的', 'v. <古>be 的第二人称单数现在式']"
167,articulation,ɑːˌtɪkjuˈleɪʃn,,,,,,['n. （想法、思想等的）语言表达；清楚的咬字（或发音），说话；关节连接，铰接式接头']
168,artistically,ɑːˈtɪstɪkli,,,,,,['adv. 艺术方面地']
169,as,əz,,,,,,"['adv. （程度或数量上）同样，一样；例如，诸如', 'conj. 像……一样；（说明某事应完成的时间或发生的频率）；照……方式，和……一样；正如，如同；当……时候，在……时候；虽然，尽管；因为，由于；（关系）就像，相当于；以至于（与so或such连用表结果）', 'prep. （被看）作……，（被描绘）为……；作为，当']"
170,ascendance,əˈsendəns,,,,,,['n. 上升，升高；权势，优势地位']
171,ashamed,əˈʃeɪmd,,,,,,['adj. 感到羞愧，感到羞耻；羞于（做某事）']
172,ask,ɑːsk,,,,,,"['v. 询问，打听；要求，请求；邀请，约请 ；指望，期待', '【名】 （Ask）（芬、瑞典）阿斯克（人名）']"
173,ass,æs,,,,,,"['n. 傻瓜，笨蛋；屁股，臀部；<旧>驴；性感的人', 'null 【名】（Ass）（俄）阿斯（人名）']"
174,assassin,əˈsæsɪn,assassins,,,,,['n. 暗杀者，刺客']
175,assassination,əˌsæsɪˈneɪʃ(ə)n,assassinations,,,,,['n. 暗杀，行刺']
176,assertion,əˈsɜːʃ(ə)n,assertions,,,,,['n. 断言，明确肯定；使用，主张']
177,assimilation,əˌsɪməˈleɪʃ(ə)n,,,,,,['n. 吸收，吸取；同化；（语音）同化现象']
178,assortment,əˈsɔːtmənt,assortments,,,,,['n. 各种各样，混合']
179,astonish,əˈstɒnɪʃ,,,,,,['v. 使吃惊，使惊讶']
180,astonishment,əˈstɒnɪʃmənt,,,,,,['n. 惊讶，惊愕']
181,astronomer,əˈstrɒnəmə(r),astronomers,,,,,['n. 天文学家']
182,athletic,æθˈletɪk,,,,,,['adj. 运动的，体育的；强壮的，健壮的；运动员用的；（在体育、比赛或身体锻炼等方面）行动敏捷的，活跃的']
183,atlas,ˈætləs,atlantes或atlases,,,,,['n. 地图册；第一颈椎，寰椎；（希腊式建筑中支撑柱楣的）男像柱（复数atlantes）']
184,atmospheric,ˌætməsˈferɪk,,,,,,['adj. 大气（层）的，有关大气的；有神秘（美）感的，富有情调的']
185,atomic,əˈtɒmɪk,,,,,,['adj. 原子的，与原子有关的；原子能的，核能的']
186,atop,əˈtɒp,,,,,,"['prep. 在……顶上，在……上面', 'adv. 在……顶上']"
187,attachment,əˈtætʃmənt,attachments,,,,,['n. 附加设备，附属物；（邮件）附件；文件附件；喜欢，依恋；（临时的）隶属，委派；信念，拥护；连接，连接物；扣押']
188,attentive,əˈtentɪv,,,,,,['adj. 注意的，专心的；贴心的']
189,attraction,əˈtrækʃn,attractions,,,,,['n. 有吸引力的事物；吸引力；（两性间的）吸引；（物体间的）引力；（错误的）形态同化']
190,attributable,əˈtrɪbjətəb(ə)l,,,,,,['adj. 可归因于……的；可能出自……的']
191,attributive,əˈtrɪbjətɪv,,,,,,"['adj. 定语的，起修饰作用的；归属的，属性的', 'n. 定语']"
192,auctioneer,ˌɔːkʃəˈnɪə(r); ˌɒkʃəˈnɪə(r),auctioneers,auctioneers,auctioneering,auctioneered,auctioneered,"['n. 拍卖商，拍卖师', 'v. 拍卖']"
193,auditing,'ɔːdɪtɪŋ 　,,,,,,"['n. 审计，查账', 'v. 审计，查账；<美>旁听（audit 的现在分词形式）']"
194,auditor,ˈɔːdɪtə(r),auditors,,,,,['n. 审计员；听众；<美>旁听生']
195,auntie,ˈɑːnti,aunties,,,,,['n. 伯母；阿姨；姑妈；姨妈；舅妈（aunt 的昵称）']
196,authorisation,",ɔ:θəraɪ'zeɪʃən",,,,,,['n. 授权；批准']
197,authorise,ˈɔːθəraɪz,,,,,,['vt. 授权；批准；允许；委任（等于 authorize）']
198,authoritative,ɔːˈθɒrətətɪv,,,,,,['adj. 专断的，命令式的；可靠的，可信的，权威的']
199,authorize,ˈɔːθəraɪz,,authorizes,authorizing,authorized,authorized,['v. 批准，许可；授权']
200,autobiographic,ˈɔːtəʊˌbaɪəʊˈɡræfɪk,,,,,,['adj. 自传的；自传体的；自传作家的']
201,autobiographical,ˌɔːtəˌbaɪəˈɡræfɪk(ə)l,,,,,,['adj. 自传的，自传体的']
202,automate,ˈɔːtəmeɪt,,automates,automating,automated,automated,['v. 使自动化']
203,automatically,ˌɔːtəˈmætɪkli,,,,,,['adv. 自然地，必然地；不假思索地，无意识地；自动地']
204,automobile,ˈɔːtəməbiːl,automobiles,,,,,['n. 汽车']
205,availability,əˌveɪləˈbɪləti,,,,,,['n. 可用性，可得性；空闲，闲暇；未婚，单身']
206,avoidance,əˈvɔɪdəns,,,,,,['n. 避免，避开；废止']
207,awareness,əˈweənəs,,,,,,['n. 认识，意识；感悟能力']
208,awesome,ˈɔːsəm,,,,,,['adj. 让人惊叹的，令人敬畏的；非常棒的，极佳的']
209,ax,,,,,,,
210,baby,ˈbeɪbi,babies,babies,babying,babied,babied,"['n. 婴儿，婴孩；动物幼崽；（家庭或团体中）最小的成员；幼稚的人，软弱的人；差事，责任；宝贝，亲爱的；喜欢的东西，宝贝东西', 'v. 把……当婴儿般对待，对……娇生惯养；小心翼翼地操作，小心对待', 'adj. （蔬菜）幼嫩的；（幼）小的，小型的']"
211,babyboom,,,,,,,
212,babyboomer,,,,,,,
213,backup,ˈbækʌp,,,,,,"['n. 支援，增援；备用品，后备；备份；伴唱，伴奏；堵塞', 'adj. 候补的，替代的；支持性的']"
214,backwards,ˈbækwədz,,,,,,['adv. 向后；倒转，相反；（时间上）回溯；倒退，每况愈
215,backyard,ˌbækˈjɑːd,backyards,,,,,['n. 后院；后庭']
216,bakery,ˈbeɪkəri,bakeries,,,,,['n. 面包店；烘焙食品（如面包，蛋糕）']
217,bamboo,ˌbæmˈbuː,bamboos,,,,,"['n. 竹，竹子；（制手杖或家具、器具用的）竹竿，竹筒', 'adj. 竹制的']"
